player,playerLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q124086,Wesley Sneijder,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,170,centimetre,77
http://www.wikidata.org/entity/Q1937,William Gallas,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,181,centimetre,58
http://www.wikidata.org/entity/Q11576,Raúl González Blanco,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,178,centimetre,81
http://www.wikidata.org/entity/Q128719,Jasper Cillessen,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,187,centimetre,55
http://www.wikidata.org/entity/Q31986,Cléverson Gabriel Córdova,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,33
http://www.wikidata.org/entity/Q14135,Ri Kwang-chon,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,26
http://www.wikidata.org/entity/Q239568,Dieter Elsneg,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,174,centimetre,9
http://www.wikidata.org/entity/Q39233,Aleksandr Kokorin,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,45
http://www.wikidata.org/entity/Q17508,José Manuel Pinto,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,48
http://www.wikidata.org/entity/Q293392,Óscar López Hernández,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,178,centimetre,15
http://www.wikidata.org/entity/Q210914,Juanfran Torres,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,50
http://www.wikidata.org/entity/Q239752,Zoltán Péter,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,14
http://www.wikidata.org/entity/Q17492,Jonathan dos Santos,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,172,centimetre,39
http://www.wikidata.org/entity/Q291022,Nigel Martyn,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,188,centimetre,28
http://www.wikidata.org/entity/Q11954,Dries Mertens,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,169,centimetre,54
http://www.wikidata.org/entity/Q289756,Luton Shelton,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,181,centimetre,25
http://www.wikidata.org/entity/Q128782,Hubert Fournier,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,18
