venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1867553,Lockhart Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20450,1,16,,2023-11-07T18:56:23Z
http://www.wikidata.org/entity/Q5095075,Chi Lang Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,28000,1,10,,2023-05-30T21:08:33Z
http://www.wikidata.org/entity/Q627087,Borås Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16200,1,21,,2024-07-20T13:30:50Z
http://www.wikidata.org/entity/Q4155926,Sports palace Jekaterinburg,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5000,1,6,,2024-09-28T18:17:37Z
http://www.wikidata.org/entity/Q1886406,Makomanai Ice Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10770,1,7,,2023-07-31T19:36:16Z
http://www.wikidata.org/entity/Q1780359,NP3 Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,8500,1,14,,2024-04-15T09:09:23Z
http://www.wikidata.org/entity/Q1857419,Rice Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,47000,1,9,,2024-01-14T07:22:07Z
http://www.wikidata.org/entity/Q1776696,Frogner stadion,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,4200,1,8,,2023-05-16T19:29:21Z
http://www.wikidata.org/entity/Q641841,Haberfeld Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,6000,1,7,,2024-08-05T14:33:03Z
http://www.wikidata.org/entity/Q656063,Friedrich-Ludwig-Jahn-Sportpark,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19708,1,16,,2024-07-01T03:39:13Z
http://www.wikidata.org/entity/Q2701834,Tele2 Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30001,1,30,,2024-09-18T13:12:43Z
http://www.wikidata.org/entity/Q1479839,Yakubu Gowon Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,10,,2024-04-01T14:51:12Z
http://www.wikidata.org/entity/Q2527041,Keflavíkurvöllur,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,4000,1,6,,2021-08-13T19:53:37Z
http://www.wikidata.org/entity/Q642557,Hillsborough Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,39732,1,41,,2024-11-04T12:12:26Z
http://www.wikidata.org/entity/Q4347326,Estádio Louis Ensch,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,1900,1,6,,2020-10-28T04:05:01Z
http://www.wikidata.org/entity/Q2661398,Kadir Has Spor Salonu,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,7200,1,9,,2022-06-16T21:32:21Z
http://www.wikidata.org/entity/Q1817188,Hàng Đẫy Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,22000,1,16,,2023-11-03T20:21:01Z
http://www.wikidata.org/entity/Q3104089,Hertz Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,8284,1,7,,2024-08-21T16:31:57Z
