event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q3133259,K-1 World Grand Prix 2007 Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17667,4,,2020-08-15T23:22:43Z
http://www.wikidata.org/entity/Q112629074,UFC 279,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19125,5,,2024-02-05T00:15:25Z
http://www.wikidata.org/entity/Q110325593,UFC 273,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14605,6,,2024-02-05T00:15:38Z
http://www.wikidata.org/entity/Q112659439,UFC Fight Night: Vera vs. Cruz,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12804,5,,2023-10-11T00:38:24Z
http://www.wikidata.org/entity/Q115804072,UFC on ESPN 43,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16076,6,,2023-10-11T00:28:01Z
http://www.wikidata.org/entity/Q116006554,UFC on ESPN 44,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16234,6,,2023-10-11T00:27:14Z
http://www.wikidata.org/entity/Q64184451,UFC on ESPN 7,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10816,8,,2023-11-27T13:07:04Z
http://www.wikidata.org/entity/Q60767253,UFC on ESPN 3,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10123,8,,2023-10-20T21:58:48Z
http://www.wikidata.org/entity/Q118414896,UFC 291,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18467,5,,2023-10-11T00:20:23Z
http://www.wikidata.org/entity/Q75008230,UFC Fight Night 166,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14533,8,,2024-08-12T00:48:39Z
http://www.wikidata.org/entity/Q60767240,UFC Fight Night 152,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,8132,7,,2023-10-20T22:00:14Z
http://www.wikidata.org/entity/Q109116312,UFC 271,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17872,7,,2024-02-02T18:58:14Z
http://www.wikidata.org/entity/Q64184430,UFC on ESPN 5,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10427,8,,2023-10-20T21:56:57Z
http://www.wikidata.org/entity/Q60767232,UFC 236,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14297,7,,2023-10-20T22:01:52Z
http://www.wikidata.org/entity/Q84312124,UFC Fight Night 168,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10025,8,,2024-09-02T03:42:08Z
http://www.wikidata.org/entity/Q7241177,President's Overseas XV,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,50000,2,,2021-01-15T01:42:57Z
http://www.wikidata.org/entity/Q104425354,2020 Saudi Super Cup,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,0,5,,2024-04-24T06:05:25Z
http://www.wikidata.org/entity/Q64184427,UFC Fight Night 155,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10306,8,,2024-09-16T09:10:37Z
http://www.wikidata.org/entity/Q116257112,UFC 287,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19032,6,,2023-10-11T00:27:38Z
http://www.wikidata.org/entity/Q4611409,2008 U.S. Open Cup Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,8212,2,,2023-04-21T18:57:51Z
