entity,entityLabel,category,property,propertyLabel,year,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q282009,Juanillo Rebellion,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1597,2,,2023-11-06T10:20:47Z
http://www.wikidata.org/entity/Q333023,Teutonic takeover of Danzig,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1308,11,,2024-11-13T02:25:41Z
http://www.wikidata.org/entity/Q248984,Muslim conquest of the Levant,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,633,30,,2024-11-13T02:25:11Z
http://www.wikidata.org/entity/Q277392,Polish–Ottoman War of 1620–1621,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1620,22,,2024-11-13T02:25:23Z
http://www.wikidata.org/entity/Q327513,Byzantine–Genoese War of 1348–1349,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1348,12,,2024-11-13T02:25:39Z
http://www.wikidata.org/entity/Q228911,Anglo-Zulu War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1879,45,,2024-12-12T14:31:49Z
http://www.wikidata.org/entity/Q233642,Second Anglo-Maratha War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1803,24,,2024-12-09T19:51:56Z
http://www.wikidata.org/entity/Q233507,Second Anglo-Afghan War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1878,43,,2024-11-13T02:24:56Z
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1978,34,,2024-10-01T18:23:03Z
http://www.wikidata.org/entity/Q370963,Russo-Swedish War of 1554–1557,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1554,22,,2024-11-13T02:25:44Z
http://www.wikidata.org/entity/Q199955,Hundred Days,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1815,63,,2024-12-13T16:46:43Z
http://www.wikidata.org/entity/Q223126,Chaco War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1932,47,,2024-11-13T02:24:52Z
http://www.wikidata.org/entity/Q404517,Kargil War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1999,51,,2024-11-30T09:38:08Z
http://www.wikidata.org/entity/Q233509,Second Bremish-Swedish War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1666,3,,2023-11-06T09:46:25Z
http://www.wikidata.org/entity/Q233500,Second Anglo-Burmese War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1852,23,,2024-11-25T05:40:45Z
http://www.wikidata.org/entity/Q545449,Iraq War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,2003,105,,2024-11-30T09:35:47Z
http://www.wikidata.org/entity/Q287942,Ninth Russo-Turkish War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1828,43,,2024-11-13T02:25:25Z
http://www.wikidata.org/entity/Q214456,Philippine–American War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1899,57,,2024-11-13T02:24:47Z
http://www.wikidata.org/entity/Q207318,French Revolutionary Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1792,55,,2024-11-13T02:24:44Z
http://www.wikidata.org/entity/Q430572,Scottish–Norwegian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1262,15,,2024-11-13T02:26:00Z
http://www.wikidata.org/entity/Q233663,Second Anglo-Mysore War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1780,23,,2024-11-13T02:25:05Z
http://www.wikidata.org/entity/Q233667,Second Olynthian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,-348,6,,2024-11-13T02:25:07Z
http://www.wikidata.org/entity/Q322607,War of Attrition,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1967,45,,2024-11-13T02:25:34Z
http://www.wikidata.org/entity/Q322607,War of Attrition,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1969,45,,2024-11-13T02:25:34Z
http://www.wikidata.org/entity/Q318250,Ogden War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1977,45,,2024-11-13T02:25:33Z
http://www.wikidata.org/entity/Q220602,Soviet–Japanese War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1945,35,,2024-11-13T02:24:49Z
http://www.wikidata.org/entity/Q468120,Saxon Fratricidal War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1446,6,,2024-04-07T03:52:01Z
http://www.wikidata.org/entity/Q221941,War of the Quadruple Alliance,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1718,31,,2024-11-13T02:24:50Z
http://www.wikidata.org/entity/Q552373,Fourth Macedonian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,-149,23,,2024-12-06T12:37:27Z
http://www.wikidata.org/entity/Q369291,Anglo-Spanish War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1654,20,,2024-12-09T02:06:07Z
http://www.wikidata.org/entity/Q233702,Second Silesian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1744,20,,2024-11-29T13:47:13Z
http://www.wikidata.org/entity/Q431177,Mongol invasion of Khwarazmian Empire and Eastern Iran,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1219,29,,2024-11-13T02:26:03Z
http://www.wikidata.org/entity/Q455747,Appenzell Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1401,12,,2023-07-25T09:49:33Z
http://www.wikidata.org/entity/Q329203,First Boer War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1880,50,,2024-11-13T02:25:40Z
http://www.wikidata.org/entity/Q233559,Second Hundred Years' War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1688,22,,2024-11-13T02:24:58Z
http://www.wikidata.org/entity/Q233657,Second Matabele War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1896,19,,2024-11-13T02:25:04Z
http://www.wikidata.org/entity/Q215112,Second Boer War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1899,65,,2024-12-13T23:26:38Z
http://www.wikidata.org/entity/Q443226,Contra insurgency,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1981,4,,2024-10-28T06:03:45Z
http://www.wikidata.org/entity/Q430726,Anglo-Spanish War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1585,34,,2024-11-13T02:26:01Z
http://www.wikidata.org/entity/Q499909,Saxon Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,772,25,,2024-05-07T21:21:00Z
http://www.wikidata.org/entity/Q486831,Roman–Seleucid War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,-191,32,,2024-10-15T21:11:30Z
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1965,55,,2024-11-13T02:24:59Z
