entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q820753,School of Rock,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,46,,2024-11-19T13:10:08Z
http://www.wikidata.org/entity/Q698949,Sink the Bismarck!,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1330000,United States dollar,19,,2024-11-22T14:20:00Z
http://www.wikidata.org/entity/Q579928,The SpongeBob SquarePants Movie,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,30000000,United States dollar,52,,2024-11-18T07:32:29Z
http://www.wikidata.org/entity/Q407184,Air Force One,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,85000000,United States dollar,44,,2024-11-21T13:55:11Z
http://www.wikidata.org/entity/Q1045165,Shane,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1500000,United States dollar,42,,2024-11-26T13:51:14Z
http://www.wikidata.org/entity/Q409022,Airport,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,10000000,United States dollar,33,,2024-10-30T07:27:04Z
http://www.wikidata.org/entity/Q476439,Shoot the Piano Player,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,890062.95,French franc,27,,2024-11-18T09:12:54Z
http://www.wikidata.org/entity/Q1057015,Taken 2,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,45000000,United States dollar,37,,2024-11-11T22:18:15Z
http://www.wikidata.org/entity/Q855222,Patriot Games,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,45000000,United States dollar,34,,2024-11-22T13:53:13Z
http://www.wikidata.org/entity/Q648312,The Italian Job,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,60000000,dollar,51,,2024-11-16T21:21:13Z
http://www.wikidata.org/entity/Q688962,The Merchant of Four Seasons,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,178000,Deutsche Mark,21,,2024-11-14T10:30:24Z
http://www.wikidata.org/entity/Q498150,Taras Bulba,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,7000000,United States dollar,26,,2024-11-15T13:49:18Z
http://www.wikidata.org/entity/Q546522,The Domino Principle,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,6000000,United States dollar,15,,2024-11-24T14:22:51Z
http://www.wikidata.org/entity/Q546829,Frankenstein,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,262007,United States dollar,46,,2024-11-14T09:53:37Z
http://www.wikidata.org/entity/Q755171,The Young Victoria,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,35000000,United States dollar,34,,2024-11-13T13:34:50Z
