entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q794095,Rho Coronae Borealis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.889,solar mass,16
http://www.wikidata.org/entity/Q798287,Mu Columbae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,16,solar mass,22
http://www.wikidata.org/entity/Q1104066,COROT-1,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.95,solar mass,15
http://www.wikidata.org/entity/Q405857,Epsilon Tauri,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.7,solar mass,24
http://www.wikidata.org/entity/Q1153697,Q1153697,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.8,solar mass,16
http://www.wikidata.org/entity/Q968611,Lambda Virginis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.897,solar mass,16
http://www.wikidata.org/entity/Q1275576,Q1275576,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.8,solar mass,14
http://www.wikidata.org/entity/Q1275576,Q1275576,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.84,solar mass,14
http://www.wikidata.org/entity/Q1193538,HD 13189,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,4.5,solar mass,11
http://www.wikidata.org/entity/Q669989,GJ 1061,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.12,solar mass,23
http://www.wikidata.org/entity/Q844620,Rosalíadecastro,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.1,solar mass,12
http://www.wikidata.org/entity/Q1327736,Nushagak,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.275,solar mass,16
http://www.wikidata.org/entity/Q1153662,Q1153662,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.48,solar mass,13
http://www.wikidata.org/entity/Q589432,Gliese 687,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.413,solar mass,21
http://www.wikidata.org/entity/Q1068712,Orkaria,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.15,solar mass,21
http://www.wikidata.org/entity/Q1153065,Chi Virginis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.17,solar mass,15
http://www.wikidata.org/entity/Q1109429,Gliese 179,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.357,solar mass,11
http://www.wikidata.org/entity/Q284484,Eta2 Hydri,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.91,solar mass,16
http://www.wikidata.org/entity/Q1194565,Q1194565,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.98,solar mass,12
http://www.wikidata.org/entity/Q740780,Gliese 876,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.334,solar mass,29
