entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q589432,Gliese 687,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,72300,centimetre per square second,21
http://www.wikidata.org/entity/Q3598697,29 Orionis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,620,centimetre per square second,8
http://www.wikidata.org/entity/Q3780570,IU Librae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,7600,centimetre per square second,6
http://www.wikidata.org/entity/Q284484,Eta2 Hydri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,562,centimetre per square second,16
http://www.wikidata.org/entity/Q4042139,Q4042139,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,13650,centimetre per square second,8
http://www.wikidata.org/entity/Q630147,Beta Scuti,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,8.7,centimetre per square second,14
http://www.wikidata.org/entity/Q4042140,Q4042140,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,19600,centimetre per square second,8
http://www.wikidata.org/entity/Q377850,Q377850,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,280,centimetre per square second,15
http://www.wikidata.org/entity/Q628750,Nu Orionis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,11500,centimetre per square second,9
http://www.wikidata.org/entity/Q605441,MX Puppis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2100,centimetre per square second,6
http://www.wikidata.org/entity/Q948220,Q948220,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,31200,centimetre per square second,16
http://www.wikidata.org/entity/Q190997,14 Herculis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,26700,centimetre per square second,18
http://www.wikidata.org/entity/Q3780989,Q3780989,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,3,centimetre per square second,8
http://www.wikidata.org/entity/Q4553537,17 Eridani,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,4010,centimetre per square second,6
http://www.wikidata.org/entity/Q81193,Q81193,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,21800,centimetre per square second,9
http://www.wikidata.org/entity/Q4638201,45 Herculis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6000,centimetre per square second,9
http://www.wikidata.org/entity/Q722454,Q722454,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,40000,centimetre per square second,11
http://www.wikidata.org/entity/Q4552046,16 Comae Berenices,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2500,centimetre per square second,9
http://www.wikidata.org/entity/Q4640214,52 Herculis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2000,centimetre per square second,8
http://www.wikidata.org/entity/Q4640341,53 Camelopardalis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10000,centimetre per square second,9
http://www.wikidata.org/entity/Q951640,DT Virginis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,51600,centimetre per square second,10
http://www.wikidata.org/entity/Q943340,Gliese 832,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,63000,centimetre per square second,25
http://www.wikidata.org/entity/Q768321,PP Carinae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,910,centimetre per square second,13
http://www.wikidata.org/entity/Q4637600,41 Comae Berenices,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,19,centimetre per square second,9
http://www.wikidata.org/entity/Q194349,15 Sagittae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,25350,centimetre per square second,11
http://www.wikidata.org/entity/Q4042144,Q4042144,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,31000,centimetre per square second,7
http://www.wikidata.org/entity/Q216257,23 Librae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,17860,centimetre per square second,16
http://www.wikidata.org/entity/Q4042158,Q4042158,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,44500,centimetre per square second,6
