entity,entityLabel,category,property,propertyLabel,value,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q16670522,Q16670522,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,174,http://www.wikidata.org/entity/Q946031,Antonine Maillet,1,,2022-11-27T08:07:10Z
http://www.wikidata.org/entity/Q6728361,Madonna,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,256,http://www.wikidata.org/entity/Q357470,Andrew Morton,2,,2023-02-05T09:36:47Z
http://www.wikidata.org/entity/Q18203766,Play unconventional chess and win,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,392,http://www.wikidata.org/entity/Q112073470,Noam Manella,1,,2022-08-28T18:32:34Z
http://www.wikidata.org/entity/Q27077344,Q27077344,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,464,http://www.wikidata.org/entity/Q764789,Gregory S. Paul,1,,2022-06-17T16:02:23Z
http://www.wikidata.org/entity/Q61732658,The California Field Atlas,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,552,http://www.wikidata.org/entity/Q64011091,Obi Kaufmann,1,,2022-11-27T14:37:42Z
http://www.wikidata.org/entity/Q11362397,Q11362397,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,88,http://www.wikidata.org/entity/Q715235,Kanji Ishiwara,1,,2021-12-23T12:19:00Z
http://www.wikidata.org/entity/Q31198103,Q31198103,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,158,,,1,,2020-04-14T14:32:34Z
http://www.wikidata.org/entity/Q25490687,Moses Final Oration,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,382,http://www.wikidata.org/entity/Q7022910,Micah Goodman,2,,2022-11-27T08:52:30Z
http://www.wikidata.org/entity/Q11615983,Q11615983,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,191,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2024-11-21T09:50:22Z
http://www.wikidata.org/entity/Q65062915,Small Acts of Freedom,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,234,http://www.wikidata.org/entity/Q28858100,Gurmehar Kaur,1,,2024-10-11T20:17:41Z
http://www.wikidata.org/entity/Q28222716,"The Los Angeles River: Its Life, Death, and Possible Rebirth",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,369,http://www.wikidata.org/entity/Q100319679,Blake Gumprecht,1,,2022-04-13T18:26:16Z
